user_tenure_days,avg_basket_value,purchase_frequency,category_affinity_score,loyalty_tier,review_sentiment_polarity,is_high_propensity
359.606,91.481,5.16,0.21,4,0.298,1
283.408,99.891,2.872,0.904,1,0.08,0
377.723,92.78,3.769,0.688,3,0.14,1
482.764,129.76,5.509,0.574,5,0.427,1
271.902,51.669,5.543,0.821,5,0.078,1
271.904,61.305,7.174,0.955,2,0.374,0
489.506,57.957,4.335,0.09,4,0.141,1
392.092,114.057,5.113,0.737,3,0.116,1
243.663,116.514,3.625,0.365,5,0.254,1
365.107,100.793,4.864,0.75,2,0.448,0
244.39,126.422,5.379,0.676,1,0.496,0
244.112,43.769,4.303,0.777,5,0.677,0
329.035,143.353,0.892,0.55,2,0.165,0
70.406,138.313,5.163,0.275,1,0.817,0
93.01,110.747,5.229,0.56,4,1.0,0
232.525,147.363,3.14,0.731,1,0.274,0
178.46,27.018,1.931,0.853,5,-0.13,1
337.71,66.644,7.452,0.416,3,-0.122,1
191.037,59.264,5.483,0.855,1,0.251,0
130.524,110.252,4.042,0.52,3,0.192,1
475.878,48.245,2.226,0.722,3,0.402,0
272.907,111.512,2.856,0.548,1,0.552,0
308.103,132.969,7.105,0.686,4,0.014,1
129.03,109.332,4.775,0.828,1,0.349,0
234.674,94.931,3.399,0.405,2,0.248,1
313.311,50.424,5.519,0.514,3,1.0,0
161.881,55.36,2.871,0.687,5,-0.014,1
345.084,128.737,7.502,0.99,3,0.172,1
227.923,112.277,7.206,0.477,5,0.41,1
264.997,83.634,3.567,0.99,2,0.174,0
227.795,70.373,3.243,0.99,2,0.74,0
522.273,15.0,0.5,0.631,2,0.094,1
298.38,47.52,1.537,0.59,1,0.125,0
173.075,151.9,1.821,0.512,3,0.766,0
398.705,40.184,4.77,0.636,5,0.043,1
153.499,91.632,3.848,0.369,2,0.65,0
325.064,120.261,1.809,0.635,2,0.264,0
64.84,41.078,3.938,0.949,5,0.214,1
140.618,91.465,5.511,0.528,3,0.248,1
323.623,117.827,5.556,0.602,3,0.064,1
388.616,85.437,0.701,0.31,5,0.672,1
320.564,185.394,4.243,0.725,4,0.441,1
286.122,26.599,1.733,0.703,3,0.667,0
263.868,122.055,6.303,0.663,5,0.753,1
122.577,78.952,6.068,0.607,5,0.562,1
213.619,112.017,2.704,0.591,2,-0.036,1
244.723,100.446,2.968,0.75,5,0.109,1
426.855,59.34,3.577,0.644,1,0.655,0
341.234,93.015,0.5,0.713,2,0.417,0
88.435,19.973,5.172,0.693,2,0.595,1
338.89,106.114,3.954,0.875,3,0.373,0
253.79,95.436,6.44,0.785,4,0.271,0
218.769,107.353,2.303,0.689,3,0.595,0
373.401,122.034,3.262,0.954,1,-0.118,0
423.72,97.867,1.487,0.734,2,0.304,0
411.754,90.183,2.491,0.911,2,0.42,0
199.294,54.163,2.136,0.771,5,0.463,0
262.895,60.072,6.492,0.282,4,0.012,1
339.752,126.536,3.103,0.911,4,0.024,1
417.065,135.272,4.748,0.677,5,0.282,1
242.499,76.666,3.738,0.64,1,0.381,0
277.721,86.61,1.961,0.706,4,0.867,0
167.24,53.338,4.163,0.581,2,0.137,1
156.455,126.046,5.698,0.695,1,0.252,0
397.503,108.29,2.084,0.532,3,0.877,0
462.749,152.943,6.118,0.905,3,0.719,0
291.359,54.259,2.801,0.627,1,0.066,0
